     1→{
     2→  "cn": {
     3→    "name": "中国",
     4→    "lang": "zh-CN",
     5→    "items": [
     6→      {"title": "民法典 第一条", "content": "为了保护民事主体的合法权益，调整民事关系，维护社会和经济秩序，适应中国特色社会主义发展要求，弘扬社会主义核心价值观，根据宪法，制定本法。"},
     7→      {"title": "民法典 第二条", "content": "民法调整平等主体的自然人、法人和非法人组织之间的人身关系和财产关系。"},
     8→      {"title": "刑法 第一条", "content": "为了惩罚犯罪，保护人民，根据宪法，结合我国同犯罪作斗争的具体经验及实际情况，制定本法。"},
     9→      {"title": "消费者权益保护法 第七条", "content": "消费者在购买、使用商品和接受服务时享有人身、财产安全不受损害的权利。"}
    10→    ]
    11→  },
    12→  "us": {
    13→    "name": "美国",
    14→    "lang": "en-US",
    15→    "items": [
    16→      {"title": "Constitution - 1st Amendment", "content": "Congress shall make no law respecting an establishment of religion, or prohibiting the free exercise thereof; or abridging the freedom of speech, or of the press."},
    17→      {"title": "Constitution - 4th Amendment", "content": "The right of the people to be secure in their persons, houses, papers, and effects, against unreasonable searches and seizures, shall not be violated."},
    18→      {"title": "UCC § 2-314 - Implied Warranty", "content": "A warranty that the goods shall be merchantable is implied in a contract for their sale if the seller is a merchant with respect to goods of that kind."}
    19→    ]
    20→  },
    21→  "jp": {
    22→    "name": "日本",
    23→    "lang": "ja-JP",
    24→    "items": [
    25→      {"title": "民法 第一条", "content": "私権は、公共の福祉に適合しなければならない。権利の行使及び義務の履行は、信義に従い誠実に行わなければならない。"},
    26→      {"title": "憲法 第九条", "content": "日本国民は、正義と秩序を基調とする国際平和を誠実に希求し、国権の発動たる戦争と、武力による威嚇又は武力の行使は、国際紛争を解決する手段としては、永久にこれを放棄する。"},
    27→      {"title": "消費者契約法 第一条", "content": "この法律は、消費者と事業者との間の情報の質及び量並びに交渉力の格差に鑑み、事業者の一定の行為により消費者が誤認し、又は困惑した場合等について契約の申込み又はその承諾の意思表示を取り消すことができることとする。"}
    28→    ]
    29→  },
    30→  "kr": {
    31→    "name": "韩国",
    32→    "lang": "ko-KR",
    33→    "items": [
    34→      {"title": "헌법 제1조", "content": "대한민국은 민주공화국이다. 대한민국의 주권은 국민에게 있고, 모든 권력은 국민으로부터 나온다."},
    35→      {"title": "민법 제1조", "content": "민사에 관하여 법률에 규정이 없으면 관습법에 의하고 관습법이 없으면 조리에 의한다."},
    36→      {"title": "소비자기본법 제4조", "content": "소비자는 물품 또는 용역으로 인한 생명·신체 또는 재산에 대한 위해로부터 보호받을 권리를 가진다."}
    37→    ]
    38→  }
    39→}
    40→
